 ก. รวมรถตามกฎหมายว่าด้วยรถยนต์ ,"37,059,245","9,593,706","27,465,539","2,070,052","164,419","131,850","401,843","146,337","394,850","415,578","131,775","166,967","116,433","3,603,029","122,313","252,306","371,600","1,448,801","687,869","369,851","128,249","222,040","7,915,336","349,279","199,392","697,998","386,252","479,330","1,269,710","436,027","119,568","149,127","110,113","208,728","256,205","645,722","210,301","459,395","810,272","274,958","316,853","382,578","153,528","6,609,909","703,091","60,961","1,382,362","259,926","224,715","270,595","444,978","248,741","252,216","300,176","220,145","479,157","338,637","278,612","438,048","536,691","170,858","2,679,512","458,226","381,612","437,561","478,909","220,731","68,984","312,875","320,614","4,587,701","285,196","84,857","588,769","119,024","600,125","240,070","457,827","239,027","339,518","793,112","129,458","219,919","264,814","225,985"
     Total Vehicle under Motor Vehicle Act ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
                            ระหว่างประเทศ , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
     รวมรถบรรทุก Truck : Total ,"1,089,621","141,709","947,912","148,155","7,779","4,821","14,414","4,888","31,191","20,869","18,840","16,562","28,791","127,073","3,897","10,728","21,014","47,000","23,504","7,618","3,138","10,174","274,772","19,275","5,634","18,165","12,459","19,066","51,330","16,456","3,200","7,852","3,191","5,517","10,777","20,586","4,453","8,034","26,936","12,332","11,658","13,404","4,447","169,677","14,378",967,"17,736","6,774","5,619","4,189","8,485","5,792","5,930","10,247","6,493","13,523","17,195","9,137","13,261","23,762","6,189","135,196","26,011","17,684","37,056","17,692","12,860","2,999","10,315","10,579","93,039","6,628","2,996","16,163","2,679","12,765","4,925","4,054","5,319","6,565","19,495","2,019","3,057","3,500","2,874"
     แยกเป็น - ไม่ประจำทาง Non Fixed Route Truck ,"293,167","76,640","216,527","53,003","1,194",632,"1,311",364,"11,813","9,345","6,480","5,738","16,126","42,674",981,"1,273","7,250","19,637","10,846","1,019",413,"1,255","35,280","1,900",607,"2,781",857,"1,564","6,608","2,098",224,832,548,"1,648","1,071","3,695",601,965,"3,692",926,"2,173","1,375","1,115","28,224","3,834",85,"4,493","1,233",650,665,"3,007",362,890,781,"2,572","1,639","1,446",528,471,"5,396",172,"34,212","1,557","3,279","12,064","4,131","4,300",649,"4,978","3,254","23,134","1,560",673,"3,599",264,"1,868",522,465,"1,092","1,763","9,453",315,461,688,411
                           ไม่ประจำทาง ,"293,167","76,640","216,527","53,003","1,194",632,"1,311",364,"11,813","9,345","6,480","5,738","16,126","42,674",981,"1,273","7,250","19,637","10,846","1,019",413,"1,255","35,280","1,900",607,"2,781",857,"1,564","6,608","2,098",224,832,548,"1,648","1,071","3,695",601,965,"3,692",926,"2,173","1,375","1,115","28,224","3,834",85,"4,493","1,233",650,665,"3,007",362,890,781,"2,572","1,639","1,446",528,471,"5,396",172,"34,212","1,557","3,279","12,064","4,131","4,300",649,"4,978","3,254","23,134","1,560",673,"3,599",264,"1,868",522,465,"1,092","1,763","9,453",315,461,688,411
                            ระหว่างประเทศ , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
                   - ส่วนบุคคล Private Truck ,"796,454","65,069","731,385","95,152","6,585","4,189","13,103","4,524","19,378","11,524","12,360","10,824","12,665","84,399","2,916","9,455","13,764","27,363","12,658","6,599","2,725","8,919","239,492","17,375","5,027","15,384","11,602","17,502","44,722","14,358","2,976","7,020","2,643","3,869","9,706","16,891","3,852","7,069","23,244","11,406","9,485","12,029","3,332","141,453","10,544",882,"13,243","5,541","4,969","3,524","5,478","5,430","5,040","9,466","3,921","11,884","15,749","8,609","12,790","18,366","6,017","100,984","24,454","14,405","24,992","13,561","8,560","2,350","5,337","7,325","69,905","5,068","2,323","12,564","2,415","10,897","4,403","3,589","4,227","4,802","10,042","1,704","2,596","2,812","2,463"
                            ส่วนบุคคล ,"796,454","65,069","731,385","95,152","6,585","4,189","13,103","4,524","19,378","11,524","12,360","10,824","12,665","84,399","2,916","9,455","13,764","27,363","12,658","6,599","2,725","8,919","239,492","17,375","5,027","15,384","11,602","17,502","44,722","14,358","2,976","7,020","2,643","3,869","9,706","16,891","3,852","7,069","23,244","11,406","9,485","12,029","3,332","141,453","10,544",882,"13,243","5,541","4,969","3,524","5,478","5,430","5,040","9,466","3,921","11,884","15,749","8,609","12,790","18,366","6,017","100,984","24,454","14,405","24,992","13,561","8,560","2,350","5,337","7,325","69,905","5,068","2,323","12,564","2,415","10,897","4,403","3,589","4,227","4,802","10,042","1,704","2,596","2,812","2,463"
                            ระหว่างประเทศ , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
     โดยรถขนาดเล็ก Small Rural Bus ,708, -   ,708,24,2,1,1, -   ,4,2, -   ,4,10,9, -   , -   , -   ,3,1,3, -   ,2,240, -   ,11, -   ,8, -   ,15,3, -   ,2, -   ,3, -   ,2, -   ,60,4,4,120,8, -   ,187,10,3, -   ,11, -   , -   ,9,19, -   , -   ,1,1,44,3,31,52,3,29,2,3,13, -   ,7,1, -   ,3,219,3, -   ,81,9,32,1, -   ,19,1, -   ,2,38,15,18
 กลุ่มสถิติการขนส่ง  กองแผนงาน  กรมการขนส่งทางบก  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
" (Transport Statistics Sub-Division, Planning Division , Department of Land Transport) ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
