 ก. รวมรถตามกฎหมายว่าด้วยรถยนต์ ,"37,059,245","9,593,706","27,465,539","2,070,052","164,419","131,850","401,843","146,337","394,850","415,578","131,775","166,967","116,433","3,603,029","122,313","252,306","371,600","1,448,801","687,869","369,851","128,249","222,040","7,915,336","349,279","199,392","697,998","386,252","479,330","1,269,710","436,027","119,568","149,127","110,113","208,728","256,205","645,722","210,301","459,395","810,272","274,958","316,853","382,578","153,528","6,609,909","703,091","60,961","1,382,362","259,926","224,715","270,595","444,978","248,741","252,216","300,176","220,145","479,157","338,637","278,612","438,048","536,691","170,858","2,679,512","458,226","381,612","437,561","478,909","220,731","68,984","312,875","320,614","4,587,701","285,196","84,857","588,769","119,024","600,125","240,070","457,827","239,027","339,518","793,112","129,458","219,919","264,814","225,985"
     Total Vehicle under Motor Vehicle Act ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
รย. 6 รถยนต์รับจ้างบรรทุกคนโดยสารไม่เกิน 7 คน Urban Taxi,"81,944","77,864","4,080", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,692, -   , -   , -   ,665,22,5, -   , -   ,"1,351", -   , -   ,503,64,25,134,10, -   , -   , -   ,13,24,60,11,17,412,6,46,13,13,917,254, -   ,387, -   ,10, -   ,11, -   ,8,1,50,193, -   ,1,2, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,"1,120", -   , -   ,570, -   ,62,17,363, -   , -   ,105, -   , -   ,3, -   
                 - บุคคลธรรมดา,"18,687","17,959",728, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,16, -   , -   , -   ,12, -   ,4, -   , -   ,107, -   , -   ,47,1,4,7, -   , -   , -   , -   ,9, -   ,15, -   , -   ,23, -   , -   ,1, -   ,182,33, -   ,137, -   , -   , -   ,4, -   ,5, -   , -   ,2, -   ,1, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,423, -   , -   ,212, -   ,2, -   ,205, -   , -   ,2, -   , -   ,2, -   
                 - นิติบุคคล,"62,666","59,323","3,343", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,675, -   , -   , -   ,653,22, -   , -   , -   ,"1,244", -   , -   ,456,63,21,127,10, -   , -   , -   ,4,24,45,11,17,389,6,46,12,13,730,220, -   ,250, -   ,10, -   ,7, -   , -   , -   ,50,191, -   , -   ,2, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,694, -   , -   ,358, -   ,59,16,158, -   , -   ,103, -   , -   , -   , -   
                 - ไม่ระบุ,591,582,9, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,1, -   , -   , -   , -   , -   ,1, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,5,1, -   , -   , -   , -   , -   , -   , -   ,3,1, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,3, -   , -   , -   , -   ,1,1, -   , -   , -   , -   , -   , -   ,1, -   
รย. 7 รถยนต์สี่ล้อเล็กรับจ้าง Fixed Route Taxi,"2,694","2,177",517, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,1, -   , -   ,1, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,516, -   , -   , -   , -   , -   , -   ,516, -   , -   , -   , -   , -   , -   , -   
รย. 8 รถยนต์รับจ้างสามล้อ Motortricycle Taxi (Tuk Tuk),"20,221","9,333","10,888","3,819",14,1, -   ,37,13,"1,303", -   ,"1,686",765,"2,646",1,500,985,867,1,53,25,214,"1,769",55, -   ,349, -   ,43,765,14,1, -   , -   ,3,1,1,29, -   ,502,1, -   ,5, -   ,"1,661",192,14,"1,149",4, -   ,1, -   , -   ,4,4,51,119, -   ,24,58,41, -   ,789,100,13,87,100,227,171,14,77,204, -   , -   , -   , -   , -   , -   , -   , -   ,201, -   , -   , -   ,3, -   
รย. 9 รถยนต์บริการธุรกิจ Hotel Taxi,"4,374",667,"3,707",41, -   , -   , -   , -   , -   , -   , -   ,39,2,11, -   , -   , -   ,7,4, -   , -   , -   ,71, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,10,1,50,2, -   ,8, -   , -   , -   , -   ,268,60, -   ,208, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,189, -   , -   , -   , -   , -   , -   , -   ,189,"3,127", -   , -   ,194,316,27,109,"2,452", -   ,2,26, -   ,1, -   , -   
รย.10 รถยนต์บริการทัศนาจร Tour Taxi,"4,878","1,610","3,268",9, -   , -   , -   , -   , -   , -   , -   ,1,8, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,6, -   , -   ,6, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,"3,253", -   , -   ,19,50, -   ,545,"2,632", -   ,7, -   , -   , -   , -   , -   
รย.11 รถยนต์บริการให้เช่า Car For Hire,70,54,16, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,3, -   , -   , -   , -   , -   , -   ,3, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,13, -   , -   ,3,1, -   , -   , -   , -   ,9, -   , -   , -   , -   , -   
รย.12 รถจักรยานยนต์ส่วนบุคคล Motorcycle,"20,501,439","3,521,127","16,980,312","1,150,563","101,898","85,101","231,579","87,173","239,718","246,623","59,448","46,704","52,319","2,245,805","73,117","150,148","231,148","951,168","407,380","210,422","88,522","133,900","4,838,785","210,008","123,847","427,040","244,532","328,257","713,299","296,403","76,567","87,045","74,908","135,719","146,372","397,276","150,109","307,419","433,054","155,985","199,739","235,174","96,032","4,079,426","441,173","50,080","805,350","169,139","142,381","175,926","272,797","157,132","154,170","195,043","145,807","271,134","210,690","190,813","268,692","324,230","104,869","1,763,660","295,722","236,662","255,706","323,017","195,157","45,607","200,982","210,807","2,902,073","167,482","56,228","341,261","85,543","375,278","135,198","290,436","160,404","227,054","437,309","95,051","158,318","193,596","178,915"
รย.13 รถแทรกเตอร์ Tractor,"517,872","94,155","423,717","39,896","3,455","1,119","15,987",839,"5,340","1,706",325,"1,116","10,009","24,253",611,"2,467","2,235","4,835","2,564","3,070",166,"8,305","202,347","14,515","4,352","18,704","12,020","12,400","35,536","10,867","3,367","5,640","2,093","4,506","8,391","16,291","4,076","9,132","12,110","8,792","7,690","9,678","2,187","122,055","8,265",153,"4,524","3,915","3,151","1,021","1,191","2,520","5,967","10,068","3,418","9,604","13,912","6,168","20,794","21,810","5,574","18,930","6,630","5,901","1,460","1,148",188,91,"1,442","2,070","16,236","1,423",153,"4,501",193,"3,156",386,465,"1,368",806,"2,551",199,314,338,383
รย.14 รถบดถนน Road Roller,"14,068","3,835","10,233",806,42,48,149,65,147,88,52,160,55,"1,060",49,171,91,310,135,147,25,132,"3,026",114,122,250,198,467,401,256,24,110,8,28,122,165,34,127,240,120,81,102,57,"2,510",257,16,430,71,92,55,133,116,112,170,86,213,131,176,216,184,52,"1,204",260,93,166,419,25,46,98,97,"1,627",129,48,325,44,131,50,21,68,99,307,47,109,116,133
รย.15 รถใช้งานเกษตรกรรม Farm Vehicle,"107,673",7,"107,666",993,80, -   ,235, -   ,135,535,7,1, -   ,287,70,21,114,12,10,7,1,52,"73,373","18,362",709,203,248,"1,773","45,528",424,20,284, -   ,258,174,"1,360",55,60,975,313,667,"1,952",8,"32,518",953,3,34,43,6,30,125,121,"13,205","3,274",19,"6,720",789,"2,469","2,224","2,158",345,449,38,27,5,8, -   ,4,336,31,46,3,1,3,1,6,3, -   , -   ,3,4, -   , -   ,2,20
รย.16 รถพ่วง Automobile Trailer,"4,544","2,609","1,935",154,3, -   ,12,6,63,24,35,5,6,472,4,5,7,414,26,12, -   ,4,916,29, -   ,30,6,9,696,11,1,5,2,10,9,49,1,3,42,4,5,4, -   ,173,18,4,41,2,15,7,7, -   ,6,16,3,22,10,8,2,11,1,113,6,32,10,27,2, -   ,11,25,107,18,4,21,1,5,10,20,5,3,15,1,1, -   ,3
รย.17 รถจักรยานยนต์สาธารณะ Public Motorcycle,"194,393","99,664","94,729","42,751",129,152,"1,096",514,"1,758","4,151","8,764","8,094","18,093","17,310",344,317,"1,860","12,343","1,424",526,203,293,"5,296",58,156,217,308,656,"2,301",947,73,22, -   ,7,4,40,2,100,198,31,108,66,2,"4,794",623,112,488,117,123,102,155,80,110,124,"1,289",252,118,155,260,570,116,"13,993",501,794,"4,410","1,093","4,740",888,735,832,"10,585",480,486,416,377,"1,359",392,"1,795",641,"1,062","1,924",310,568,41,734
 ข. รวมรถตามกฎหมายว่าด้วยการขนส่งทางบก ,"1,249,518","184,955","1,064,563","164,955","8,151","5,263","16,270","5,892","32,292","24,198","21,384","18,696","32,809","142,024","4,261","11,514","23,369","53,798","25,749","8,759","3,868","10,706","301,027","20,246","6,296","20,201","13,600","20,099","57,405","17,791","3,404","8,524","3,375","5,979","11,448","23,019","5,064","9,348","29,849","13,125","12,780","14,684","4,790","188,499","16,292","1,157","24,942","7,249","6,076","4,626","9,674","6,246","6,351","10,796","7,364","14,383","17,870","9,492","14,102","25,213","6,666","144,401","27,794","18,869","38,599","18,577","14,538","3,475","11,028","11,521","123,657","7,229","3,618","19,630","4,277","15,627","7,035","12,098","6,488","7,479","25,509","2,670","3,989","4,655","3,353"
     Total Vehicle under Land Transport Act ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
     รวมรถโดยสาร Bus : Total ,"159,189","43,246","115,943","16,776",370,441,"1,855","1,004","1,097","3,327","2,544","2,130","4,008","14,942",364,786,"2,355","6,795","2,244","1,138",730,530,"26,015",971,651,"2,036","1,133","1,033","6,060","1,332",204,670,184,459,671,"2,431",611,"1,254","2,909",789,"1,002","1,272",343,"18,635","1,904",187,"7,206",464,457,437,"1,180",435,421,549,870,859,631,352,810,"1,399",474,"9,176","1,781","1,182","1,530",885,"1,671",475,713,939,"30,399",598,622,"3,386","1,589","2,830","2,109","8,044","1,150",913,"6,014",649,894,"1,140",461
     แยกเป็น - ประจำทาง Fixed Route Bus ,"78,894","22,563","56,331","6,913",112,212,770,199,313,"1,004","1,160",917,"2,226","6,705",159,289,852,"3,151","1,190",365,442,257,"17,151",638,470,"1,439",629,637,"3,478",830,123,497,54,268,433,"1,909",396,961,"2,206",441,723,780,239,"8,672","1,132",103,"1,926",219,221,287,860,318,226,313,618,333,372,95,472,934,243,"5,033","1,101",848,738,450,"1,020",368,206,302,"11,857",420,499,"2,042",363,"2,176",667,399,812,532,"2,443",346,450,444,264
หมวด 1,"20,060","11,940","8,120",740, -   ,12,143, -   ,50,107, -   ,289,139,"1,277", -   ,11,176,898,151, -   ,33,8,"2,167",5,21,207,8,28,431,32,18,73,2,3,30,443, -   ,92,653,20,83, -   ,18,"1,180",253, -   ,48, -   ,38, -   ,259,34,7,10,109,40,33,1,21,310,17,491,35,184,17,71,108,8,5,63,"2,265",63,144,934,109,482,76,38,88,30,200,95,4, -   ,2
หมวด 2,"10,317","5,980","4,337",519,31,53,100,68,2,158,107, -   , -   ,897,72,47,128,314,221,83, -   ,32,"1,337",92, -   ,18, -   , -   ,708, -   , -   ,3, -   ,1,71,120,1, -   ,160,8,51,96,8,431, -   , -   ,26, -   , -   , -   ,33,8,9,31, -   ,36,19,18,110,106,35,"1,021",576,118,92,43, -   ,34,30,128,132,49,26,1, -   , -   , -   ,56, -   , -   , -   , -   , -   , -   , -   
หมวด 3,"12,188",90,"12,098",953,12,26,106,42,44,149,380,132,62,910,49,52,230,246,167,81,16,69,"4,827",180,239,374,149,111,808,197,46,198,27,164,33,605,34,420,758,162,101,167,54,"1,417",106,12,313,9,42,203,49,14,4,91,125,138,40,10,88,158,15,776,138,154,231,16,52,109,37,39,"3,215",102,91,381,23,547,110,71,290,323,609,129,292,241,6
หมวด 4,"34,869","4,152","30,717","4,636",67,120,417,81,210,586,672,486,"1,997","3,490",31,95,317,"1,687",629,197,388,146,"8,415",346,167,823,447,470,"1,470",592,59,220,25,73,292,678,353,438,620,246,476,466,154,"5,421",743,89,"1,523",210,140,81,512,259,196,166,379,116,269,57,252,256,173,"2,705",350,386,383,316,858,213,129,70,"6,050",191,233,703,219,"1,124",479,234,413,174,"1,620",120,140,155,245
                            ระหว่างประเทศ ,42,10,32, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,25, -   , -   ,2, -   , -   , -   , -   , -   , -   , -   ,2,2,6,6, -   ,2, -   , -   , -   ,5,7,4, -   ,2, -   ,1, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
                           ไม่ระบุ ,"1,418",391,"1,027",65,2,1,4,8,7,4,1,10,28,131,7,84,1,6,22,4,5,2,380,15,43,15,25,28,61,9, -   ,3, -   ,25,5,57,2,11,13,5,12,51, -   ,216,26,2,14, -   , -   ,3,7,3,10,15,5,3,11,9,1,104,3,40,2,6,15,4,2,4,5,2,195,15,5,23,12,23,2, -   ,21,5,14,2,14,48,11
                   - ไม่ประจำทาง Non Fixed Route Bus ,"67,633","17,561","50,072","8,502",217,189,895,751,680,"2,177","1,154",899,"1,540","7,200",185,456,"1,380","3,117",839,714,265,244,"5,956",182,129,348,229,254,"2,193",377,55,100,80,138,144,294,163,173,368,220,157,262,90,"8,286",630,65,"4,936",189,187,105,175,62,141,163,188,415,165,165,225,288,187,"3,232",536,230,554,341,483,89,419,580,"16,896",159,110,"1,240","1,169",403,"1,369","7,454",250,259,"3,257",266,281,552,127
                           ไม่ประจำทาง ,"67,633","17,561","50,072","8,502",217,189,895,751,680,"2,177","1,154",899,"1,540","7,200",185,456,"1,380","3,117",839,714,265,244,"5,956",182,129,348,229,254,"2,193",377,55,100,80,138,144,294,163,173,368,220,157,262,90,"8,286",630,65,"4,936",189,187,105,175,62,141,163,188,415,165,165,225,288,187,"3,232",536,230,554,341,483,89,419,580,"16,896",159,110,"1,240","1,169",403,"1,369","7,454",250,259,"3,257",266,281,552,127
                            ระหว่างประเทศ , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
                   - ส่วนบุคคล Private Bus ,"12,662","3,122","9,540","1,361",41,40,190,54,104,146,230,314,242,"1,037",20,41,123,527,215,59,23,29,"2,908",151,52,249,275,142,389,125,26,73,50,53,94,228,52,120,335,128,122,230,14,"1,677",142,19,344,56,49,45,145,55,54,73,64,111,94,92,113,177,44,911,144,104,238,94,168,18,88,57,"1,646",19,13,104,57,251,73,191,88,122,314,37,163,144,70
                            ส่วนบุคคล ,"12,662","3,122","9,540","1,361",41,40,190,54,104,146,230,314,242,"1,037",20,41,123,527,215,59,23,29,"2,908",151,52,249,275,142,389,125,26,73,50,53,94,228,52,120,335,128,122,230,14,"1,677",142,19,344,56,49,45,145,55,54,73,64,111,94,92,113,177,44,911,144,104,238,94,168,18,88,57,"1,646",19,13,104,57,251,73,191,88,122,314,37,163,144,70
